Occurred_Date,Occurred_Time,Reported_Date,Reported_Time,Crime,Detail,Beat
4/29/2018,2145,4/30/2018,2135,THEFT,SHOPLIFT,K3
4/29/2018,2100,4/30/2018,2149,THEFT,SHOPLIFT,K3
4/30/2018,14,4/30/2018,224,CAR PROWL,,K1
4/30/2018,15,4/30/2018,24,THEFT,ALL OTHER,F1
4/30/2018,31,4/30/2018,31,FAMILY OFFENSE,NONVIOLENT,L1
4/30/2018,34,4/30/2018,121,ROBBERY,COMMERCIAL,S3
4/30/2018,51,4/30/2018,51,TRESPASS,,S3
4/30/2018,147,4/30/2018,614,DUI,,G2
4/30/2018,208,4/30/2018,208,DUI,,O3
4/30/2018,329,4/30/2018,339,BURGLARY,RESIDENTIAL,C1
4/30/2018,419,4/30/2018,419,TRESPASS,,M1
4/30/2018,446,4/30/2018,854,THEFT,ALL OTHER,K2
4/30/2018,606,4/30/2018,757,ROBBERY,STREET,K2
4/30/2018,612,4/30/2018,612,AGGRAVATED ASSAULT,,D1
4/29/2018,1700,4/30/2018,602,MOTOR VEHICLE THEFT,,B2
4/28/2018,1615,4/30/2018,622,BURGLARY,COMMERCIAL,O2
4/15/2018,1000,4/30/2018,704,CAR PROWL,,E3
4/29/2018,2000,4/30/2018,710,CAR PROWL,,B2
4/27/2018,1530,4/30/2018,715,BURGLARY,COMMERCIAL,N1
4/30/2018,722,4/30/2018,722,THEFT,SHOPLIFT,R2
4/30/2018,726,4/30/2018,726,BURGLARY,RESIDENTIAL-SECURE PARKING,N3
4/29/2018,2000,4/30/2018,736,CAR PROWL,,W3
4/29/2018,2000,4/30/2018,745,CAR PROWL,,F3
4/29/2018,2100,4/30/2018,745,MOTOR VEHICLE THEFT,,Q2
4/30/2018,801,4/30/2018,801,BURGLARY,COMMERCIAL,N1
4/30/2018,810,4/30/2018,810,TRESPASS,,L3
4/27/2018,1700,4/30/2018,908,MOTOR VEHICLE THEFT,,J3
4/29/2018,2100,4/30/2018,811,MOTOR VEHICLE THEFT,,W3
4/30/2018,820,4/30/2018,820,TRESPASS,,R2
4/29/2018,1700,4/30/2018,831,BURGLARY,COMMERCIAL,M1
4/29/2018,2130,4/30/2018,824,MOTOR VEHICLE THEFT,,Q3
4/29/2018,1700,4/30/2018,837,CAR PROWL,,F3
4/30/2018,841,4/30/2018,841,TRESPASS,,E3
4/23/2018,844,4/30/2018,844,BURGLARY,RESIDENTIAL,B3
4/27/2018,1900,4/30/2018,858,CAR PROWL,,Q2
4/30/2018,856,4/30/2018,856,ROBBERY,COMMERCIAL,O1
4/30/2018,415,4/30/2018,911,THEFT,ALL OTHER,B1
4/27/2018,1700,4/30/2018,1032,BURGLARY,RESIDENTIAL,U3
4/22/2018,1100,4/30/2018,1555,CAR PROWL,,R1
4/30/2018,933,4/30/2018,933,THEFT,SHOPLIFT,U2
4/28/2018,900,4/30/2018,941,CAR PROWL,,U1
4/30/2018,859,4/30/2018,950,CAR PROWL,,N2
4/30/2018,957,4/30/2018,957,NARCOTIC,,K3
4/29/2018,2130,4/30/2018,1835,BURGLARY,RESIDENTIAL-SECURE PARKING,D2
4/29/2018,2000,4/30/2018,958,MOTOR VEHICLE THEFT,,R1
4/27/2018,1700,4/30/2018,1012,BURGLARY,COMMERCIAL,R2
4/29/2018,1810,4/30/2018,1013,BURGLARY,RESIDENTIAL-SECURE PARKING,E3
4/29/2018,1100,4/30/2018,1018,THEFT,BICYCLE,U2
4/30/2018,1020,4/30/2018,1020,THEFT,SHOPLIFT,N2
4/30/2018,1025,4/30/2018,1418,NARCOTIC,,F3
4/29/2018,100,4/30/2018,1528,CAR PROWL,,B1
4/25/2018,1500,4/30/2018,1110,THEFT,SHOPLIFT,J1
4/30/2018,713,4/30/2018,1104,MOTOR VEHICLE THEFT,,N1
