Occurred_Date,Occurred_Time,Reported_Date,Reported_Time,Crime,Detail,Beat
4/30/2018,34,4/30/2018,121,ROBBERY,COMMERCIAL,S3
4/30/2018,329,4/30/2018,339,BURGLARY,RESIDENTIAL,C1
4/28/2018,1615,4/30/2018,622,BURGLARY,COMMERCIAL,O2
4/27/2018,1530,4/30/2018,715,BURGLARY,COMMERCIAL,N1
4/30/2018,726,4/30/2018,726,BURGLARY,RESIDENTIAL-SECURE PARKING,N3
4/30/2018,801,4/30/2018,801,BURGLARY,COMMERCIAL,N1
4/29/2018,1700,4/30/2018,831,BURGLARY,COMMERCIAL,M1
4/23/2018,844,4/30/2018,844,BURGLARY,RESIDENTIAL,B3
4/30/2018,856,4/30/2018,856,ROBBERY,COMMERCIAL,O1
4/27/2018,1700,4/30/2018,1032,BURGLARY,RESIDENTIAL,U3
4/29/2018,2130,4/30/2018,1835,BURGLARY,RESIDENTIAL-SECURE PARKING,D2
4/27/2018,1700,4/30/2018,1012,BURGLARY,COMMERCIAL,R2
4/29/2018,1810,4/30/2018,1013,BURGLARY,RESIDENTIAL-SECURE PARKING,E3
4/28/2017,1800,4/30/2018,1117,BURGLARY,RESIDENTIAL-SECURE PARKING,U1
4/29/2018,17,4/30/2018,1244,BURGLARY,COMMERCIAL,S1
4/30/2018,1,4/30/2018,1551,BURGLARY,COMMERCIAL-SECURE PARKING,U2
4/30/2018,1203,4/30/2018,1412,BURGLARY,COMMERCIAL,U3
4/28/2018,1800,4/30/2018,1218,BURGLARY,RESIDENTIAL-SECURE PARKING,U1
4/30/2018,1228,4/30/2018,1228,BURGLARY,RESIDENTIAL,B3
4/30/2018,300,4/30/2018,1539,BURGLARY,COMMERCIAL,Q2
4/28/2018,1400,4/30/2018,1723,BURGLARY,COMMERCIAL,U1
4/27/2018,2130,4/30/2018,1343,BURGLARY,RESIDENTIAL-SECURE PARKING,E3
4/28/2018,1600,4/30/2018,1418,BURGLARY,RESIDENTIAL-SECURE PARKING,N2
4/30/2018,920,4/30/2018,1608,BURGLARY,RESIDENTIAL,S1
4/27/2018,1800,4/30/2018,1715,BURGLARY,RESIDENTIAL,Q3
4/26/2018,2312,4/30/2018,1615,BURGLARY,RESIDENTIAL,E3
4/30/2018,1709,4/30/2018,1709,BURGLARY,RESIDENTIAL,R1
4/30/2018,1200,4/30/2018,1813,BURGLARY,RESIDENTIAL,W3
4/30/2018,1817,4/30/2018,1817,ROBBERY,COMMERCIAL,N2
4/29/2018,2330,4/30/2018,2202,BURGLARY,RESIDENTIAL,Q2
4/30/2018,630,4/30/2018,2023,BURGLARY,RESIDENTIAL,C3
4/30/2018,2032,4/30/2018,2206,BURGLARY,RESIDENTIAL,C2
2/1/2018,1840,4/30/2018,1844,BURGLARY,RESIDENTIAL,B1
4/21/2018,0,4/30/2018,1151,BURGLARY,COMMERCIAL,M2
4/28/2018,1830,4/30/2018,242,BURGLARY,RESIDENTIAL-SECURE PARKING,B2
